enrollment_id,user_id,course_id
1,101,1
2,101,121
3,102,194
4,102,7
5,102,55
6,103,90
7,103,161
8,103,125
9,104,71
10,104,188
11,104,92
12,105,99
13,106,199
14,106,101
15,107,39
16,107,101
17,107,69
18,107,62
19,108,184
20,108,113
21,108,165
22,108,88
23,109,94
24,109,162
25,109,112
26,110,52
27,111,86
28,111,41
29,111,190
30,112,37
31,112,18
32,112,168
33,112,88
34,113,71
35,113,44
36,113,30
37,113,181
38,114,8
39,114,106
40,115,9
41,115,105
42,115,182
43,115,67
44,116,174
45,116,146
46,117,69
47,117,59
48,118,152
49,119,104
50,120,94
51,120,137
52,121,117
53,121,141
54,121,147
55,122,90
56,122,63
57,122,11
58,123,63
59,123,99
60,123,14
61,123,19
62,124,18
63,124,24
64,124,81
65,125,158
66,126,172
67,126,105
68,126,150
69,126,104
70,127,125
71,127,51
72,127,103
73,128,64
74,128,134
75,129,146
76,130,158
77,130,46
78,130,112
79,131,83
80,131,128
81,131,68
82,131,153
83,132,135
84,132,83
85,132,156
86,132,74
87,133,181
88,133,127
89,134,80
90,134,32
91,135,5
92,135,51
93,136,46
94,137,101
95,137,114
96,137,100
97,137,21
98,138,171
99,138,84
100,138,67
101,139,113
102,139,192
103,139,40
104,139,21
105,140,162
106,140,41
107,140,188
108,141,146
109,141,48
110,142,133
111,142,178
112,142,159
113,142,9
114,143,38
115,143,190
116,143,123
117,143,8
118,144,91
119,144,81
120,145,48
121,145,95
122,145,194
123,146,105
124,147,91
125,147,62
126,147,132
127,147,175
128,148,11
129,148,61
130,148,81
131,149,136
132,149,38
133,149,101
134,149,72
135,150,148
136,150,70
137,151,116
138,152,91
139,152,130
140,153,153
141,154,181
142,154,116
143,154,61
144,155,53
145,155,105
146,156,174
147,157,6
148,157,146
149,157,168
150,157,74
151,158,18
152,158,63
153,158,49
154,159,34
155,159,122
156,160,199
157,160,65
158,160,79
159,160,46
160,161,181
161,162,199
162,163,96
163,164,103
164,165,173
165,165,117
166,165,128
167,165,34
168,166,164
169,167,59
170,168,46
171,169,25
172,169,28
173,169,191
174,170,171
175,170,85
176,170,42
177,171,83
178,171,56
179,171,130
180,172,95
181,172,16
182,172,20
183,173,55
184,174,165
185,174,101
186,174,32
187,174,7
188,175,126
189,175,136
190,175,154
191,175,118
192,176,47
193,176,185
194,176,152
195,177,94
196,177,131
197,177,100
198,177,11
199,178,123
200,178,130
201,178,97
202,178,122
203,179,105
204,179,56
205,179,185
206,179,37
207,180,5
208,180,164
209,180,125
210,181,84
211,181,119
212,181,12
213,182,96
214,182,53
215,182,120
216,182,178
217,183,190
218,183,128
219,183,174
220,183,120
221,184,30
222,184,168
223,184,93
224,185,30
225,185,131
226,185,175
227,186,93
228,187,74
229,188,39
230,188,87
231,188,136
232,189,186
233,189,28
234,190,55
235,190,28
236,190,175
237,191,56
238,191,74
239,192,16
240,192,119
241,193,14
242,193,19
243,193,56
244,194,196
245,194,57
246,194,18
247,195,132
248,195,167
249,195,158
250,196,193
251,196,139
252,197,96
253,197,85
254,198,173
255,198,134
256,198,2
257,199,83
258,200,172
259,200,170
260,201,1
261,202,127
262,202,40
263,202,28
264,203,112
265,203,131
266,203,29
267,204,43
268,204,121
269,204,165
270,204,148
271,205,37
272,205,11
273,205,124
274,205,189
275,206,28
276,206,8
277,206,14
278,207,37
279,207,74
280,207,55
281,207,83
282,208,141
283,208,186
284,208,55
285,208,53
286,209,197
287,209,28
288,209,174
289,209,155
290,210,99
291,210,22
292,211,126
293,211,154
294,211,104
295,211,153
296,212,163
297,212,153
298,212,84
299,212,42
300,213,59
301,213,157
302,213,41
303,214,81
304,214,190
305,214,156
306,215,189
307,216,119
308,216,95
309,217,99
310,217,168
311,218,158
312,218,34
313,218,74
314,219,101
315,219,151
316,220,14
317,221,146
318,221,120
319,221,8
320,222,47
321,222,169
322,222,12
323,223,148
324,224,186
325,224,126
326,224,50
327,224,32
328,225,53
329,225,31
330,225,139
331,225,146
332,226,28
333,226,115
334,226,87
335,226,1
336,227,152
337,227,39
338,228,121
339,229,115
340,229,7
341,230,58
342,230,166
343,230,173
344,231,200
345,231,39
346,231,75
347,231,179
348,232,139
349,232,64
350,232,160
351,233,83
352,234,89
353,235,22
354,235,116
355,235,31
356,235,80
357,236,125
358,237,161
359,237,70
360,238,38
361,238,70
362,238,86
363,239,175
364,239,146
365,240,6
366,240,150
367,240,41
368,241,117
369,242,122
370,242,32
371,243,90
372,243,125
373,243,93
374,244,90
375,245,179
376,245,4
377,245,144
378,245,51
379,246,113
380,246,85
381,247,129
382,247,76
383,247,132
384,248,122
385,249,81
386,249,91
387,249,73
388,250,194
389,251,159
390,252,78
391,252,127
392,252,158
393,253,107
394,254,133
395,254,107
396,254,45
397,254,32
398,255,197
399,255,22
400,256,12
401,256,135
402,256,97
403,257,132
404,258,15
405,258,102
406,259,154
407,259,158
408,260,120
409,260,165
410,260,66
411,260,182
412,261,42
413,261,102
414,261,141
415,261,92
416,262,58
417,263,92
418,263,124
419,264,21
420,265,67
421,265,19
422,266,48
423,266,7
424,266,9
425,266,21
426,267,95
427,268,34
428,268,84
429,268,42
430,269,52
431,269,90
432,269,143
433,269,81
434,270,116
435,270,77
436,270,153
437,270,200
438,271,87
439,271,94
440,272,89
441,272,196
442,272,39
443,272,42
444,273,24
445,273,183
446,274,81
447,274,95
448,274,107
449,274,43
450,275,26
451,275,147
452,275,156
453,276,128
454,276,15
455,276,148
456,277,86
457,278,34
458,278,84
459,278,189
460,278,166
461,279,182
462,280,43
463,280,53
464,280,104
465,281,175
466,281,120
467,282,40
468,282,173
469,282,78
470,283,57
471,284,29
472,284,92
473,284,149
474,285,34
475,285,104
476,285,31
477,286,27
478,286,32
479,286,50
480,287,148
481,287,157
482,287,128
483,287,83
484,288,165
485,288,33
486,288,2
487,288,34
488,289,94
489,289,99
490,289,199
491,289,200
492,290,107
493,290,160
494,290,139
495,291,30
496,291,58
497,291,167
498,291,200
499,292,84
500,292,101
501,292,195
502,293,151
503,293,5
504,294,41
505,295,80
506,295,18
507,295,59
508,296,43
509,296,62
510,297,12
511,297,22
512,298,146
513,299,68
514,299,2
515,300,179
516,301,143
517,301,171
518,302,162
519,302,46
520,303,138
521,303,124
522,303,97
523,304,115
524,304,55
525,304,51
526,304,120
527,305,124
528,305,105
529,305,186
530,306,141
531,306,37
532,306,193
533,306,199
534,307,170
535,307,11
536,307,12
537,308,121
538,309,180
539,310,186
540,310,43
541,310,190
542,311,50
543,311,180
544,311,82
545,311,86
546,312,190
547,312,16
548,312,49
549,313,181
550,313,113
551,313,39
552,314,6
553,314,10
554,314,193
555,315,66
556,315,28
557,315,157
558,315,142
559,316,188
560,316,50
561,316,138
562,316,173
563,317,115
564,317,12
565,317,66
566,317,89
567,318,121
568,318,178
569,318,152
570,318,96
571,319,116
572,319,14
573,319,119
574,319,78
575,320,100
576,321,67
577,321,139
578,321,17
579,321,113
580,322,128
581,322,157
582,322,165
583,322,14
584,323,105
585,324,85
586,324,151
587,325,197
588,326,193
589,326,101
590,326,110
591,327,145
592,328,133
593,328,62
594,328,200
595,329,192
596,329,166
597,329,122
598,329,97
599,330,102
600,330,104
601,331,8
602,331,117
603,332,170
604,333,95
605,333,119
606,333,170
607,334,154
608,335,143
609,335,4
610,336,154
611,336,185
612,336,158
613,337,168
614,337,124
615,337,130
616,337,189
617,338,169
618,338,66
619,338,170
620,339,80
621,339,18
622,340,111
623,340,9
624,341,130
625,341,22
626,341,187
627,342,74
628,342,110
629,342,11
630,343,131
631,343,184
632,343,172
633,343,196
634,344,61
635,344,186
636,344,147
637,344,100
638,345,69
639,345,49
640,345,151
641,345,191
642,346,6
643,347,121
644,348,40
645,348,169
646,348,84
647,349,113
648,349,122
649,350,72
650,350,96
651,350,107
652,351,50
653,351,172
654,352,5
655,352,9
656,352,133
657,353,20
658,353,52
659,353,64
660,353,47
661,354,85
662,354,47
663,355,75
664,355,56
665,355,28
666,355,133
667,356,87
668,356,97
669,357,79
670,358,185
671,358,68
672,358,15
673,359,182
674,359,113
675,360,35
676,361,150
677,361,176
678,362,36
679,362,76
680,362,197
681,362,80
682,363,178
683,363,22
684,363,39
685,363,69
686,364,173
687,364,152
688,365,40
689,365,143
690,366,96
691,366,197
692,367,190
693,367,60
694,367,156
695,367,96
696,368,102
697,369,22
698,369,180
699,369,165
700,369,104
701,370,107
702,371,112
703,371,86
704,372,55
705,372,44
706,372,126
707,373,77
708,373,70
709,374,2
710,374,68
711,375,148
712,375,190
713,376,97
714,376,10
715,377,160
716,377,21
717,378,126
718,378,87
719,379,183
720,379,169
721,379,102
722,379,124
723,380,145
724,380,104
725,380,195
726,381,76
727,381,66
728,381,132
729,382,118
730,383,155
731,384,173
732,384,157
733,384,8
734,384,87
735,385,68
736,385,196
737,385,39
738,385,126
739,386,16
740,386,179
741,386,10
742,386,190
